"[83.2449747   5.69270682  0.84040918 16.45585484  0.9474812   1.00039951
  1.04384546]","[83.67889630744241, 4.6454761492455665, -0.1550371273012747, 15.720287899001985, -0.22103118036018565, -0.6668995896684179, -0.02091404606202765]"
"[60.1005581   5.86111517  1.01906872 19.37246185  0.87533228  0.92010758
  1.20417773]","[61.20711416842228, 4.869211055279932, 0.0925631089660666, 18.569984826981482, 0.01967689911945372, 0.3908826300424356, -0.0011199381925402034]"
"[26.36711639  6.53148416  1.16401714 18.08336298  1.19159304  0.77321852
  1.09062422]","[27.201979060632706, 6.043999446081843, 0.15103919923408665, 17.094609403843332, 0.19422070765922442, 0.6549730113222059, 0.04976786575653355]"
"[82.96751375  3.69611107  0.80392176 17.7733304   0.52709129  0.5053654
  0.94287993]","[83.42526340073655, 2.5738739432428654, 0.14042075383399155, 17.09392671721851, -0.32043346205272477, 0.45050987058536546, 0.03792306464474679]"
"[ 8.83206785  1.68664195  1.32730544 18.46105935  1.47923069  1.6686152
  1.07178588]","[9.608816719175113, 1.036741693276014, 0.13120474625413184, 17.419127698921276, 0.27887410706544846, 0.7605374048866401, 0.018479955054624325]"
"[66.85933903  2.72667268  1.14237068 16.60524003  1.33844201  1.47794428
  0.84133209]","[67.19163807606839, 2.112593057300313, 0.10504697932835509, 16.030426754870664, 0.2117653840558616, 0.5220331586451185, 0.004896155930193116]"
"[64.81847437  2.29853419  0.90703712 19.38669772  0.94555935  0.32672351
  0.8738229 ]","[65.4115077685513, 1.1335189543293258, 0.021977004077461518, 18.419585633815007, 0.057262672829737314, -0.11283325943501873, -0.006044037530151453]"
"[13.17109481  2.92913103  1.45579479 14.58881973  0.62341141  0.5952499
  0.79608784]","[13.56336321616044, 1.3031379505693608, 0.12192903896926431, 13.758064349871143, -0.3103415983855022, 0.3600206821996187, 0.0317044104516467]"
"[43.62039064  6.50103804  0.86431756 18.26680828  1.4966496   1.46932251
  0.6044027 ]","[44.02342218616964, 5.887606182515721, -0.016302426405616813, 17.48477600144141, 0.19252107896808784, -0.04336252880755608, -0.00896193132441645]"
"[21.33845509  1.18950184  1.07842846 16.30165097  0.78006529  0.34200271
  0.78045493]","[21.565831347706254, 0.015806853656751378, 0.16303750696758162, 15.192180696872375, -0.07630381572163444, 0.5955675287621633, 0.027763578002031303]"
"[10.62860958  6.21748173  1.02196513 16.74826342  0.47989719  0.73847589
  0.77410955]","[11.173663795705282, 4.7624926938470615, -0.03221011346455101, 15.71631435048885, -0.44292002504695216, -0.3114122606751143, 0.013558281179131675]"
