init,next
"[47.92578353  1.79093041  0.83327305 21.04268582  0.22376004  1.62682036
  1.22146576]","[48.68841086  3.73890765  0.83327305 21.04268582  0.58022686  4.94464705
  0.49374882]"
"[59.39036936  1.80995414  0.84086461 20.33308567  0.34639655  0.60524821
  1.21912294]","[59.92377183  3.75771513  0.84086461 20.33308567  0.6382174   4.54527399
  0.52565126]"
"[45.22469907  2.76376104  0.87887197 14.56432868  0.40803018  0.91923945
  1.30350318]","[45.52959492  4.17245325  0.87887197 14.56432868  0.69355025  4.04371779
  0.50451629]"
"[ 6.31368102  5.59181348  0.88509517 15.48851421  0.58322338  1.07588953
  1.16942325]","[ 6.45628936  7.12450848  0.88509517 15.48851421  0.88613022  4.26264318
  0.47620997]"
"[41.15760256  3.06442555  0.90609394 13.45253351  0.26214467  1.38739214
  1.22464885]","[41.67986453  4.2932715   0.90609394 13.45253351  0.56858129  4.0543778
  0.47777772]"
"[76.97136955  5.31706258  1.02910009 15.98988924  0.75600678  0.46292513
  1.23971433]","[76.72297865  6.88663086  1.02910009 15.98988924  1.06939638  4.84583798
  0.54568507]"
"[28.19092583  7.09883455  1.14082343 21.06572802  0.0711318   1.07685579
  1.16451067]","[29.19147457  8.94745587  1.14082343 21.06572802  0.48738904  6.36019421
  0.53444068]"
"[11.03672467  5.43352422  1.15358058 14.83637182  0.25835834  1.66890449
  1.24917294]","[11.47079674  6.84636643  1.15358058 14.83637182  0.66035106  5.47571098
  0.54586319]"
"[84.3408737   1.33888941  1.15629357 15.39994412  0.87730795  1.47817436
  1.26371295]","[83.83965251  2.78835717  1.15629357 15.39994412  1.27602072  5.56769254
  0.55439977]"
"[68.17285376  2.00096513  0.8696773  13.76863535  0.07139115  1.31040407
  1.17967113]","[68.97019053  3.11144377  0.8696773  13.76863535  0.36748647  3.94759125
  0.46131325]"
"[79.68630386  2.16630966  0.88352877 21.51457055  0.47743483  0.90892203
  1.19514098]","[79.95976571  4.28910543  0.88352877 21.51457055  0.8066256   5.00123941
  0.51920816]"
